lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	92.2	98.0	88.2	88.8	92.2	96.4	96.0	NA
en-de	96.0	99.6	93.6	98.0	97.6	99.2	99.0	NA
en-fi	91.8	97.8	89.0	91.6	94.2	NA	96.4	NA
en-fr	95.2	98.8	90.2	95.0	95.8	99.4	97.8	NA
en-lt	87.8	97.0	86.2	91.4	93.6	NA	93.4	NA
en-ro	95.2	98.8	85.8	92.6	95.4	99.4	98.6	NA
en-ta	NA	NA	92.8	93.2	90.0	98.8	97.0	NA
cs-en	97.2	99.0	94.8	98.0	99.6	99.8	99.4	NA
fr-en	97.0	99.8	94.8	99.0	99.6	100.0	99.8	NA
lt-en	92.2	97.4	90.6	97.8	97.4	NA	99.0	NA
ro-en	96.8	99.8	91.2	98.2	98.0	99.6	99.4	NA
mean	94.1	98.6	90.7	94.9	95.8	99.1	97.8	NA
