lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.1	21.0	18.2	10.6	11.9	4.7	13.5	20.2
en-de	24.7	26.4	20.8	18.4	22.2	12.0	22.1	29.7
en-fi	11.0	8.7	18.8	7.6	12.5	NA	13.0	14.2
en-fr	29.5	35.6	32.7	22.8	28.2	13.0	30.7	39.3
en-lt	5.4	5.5	5.4	0.8	1.0	NA	1.2	5.8
en-ro	20.9	24.6	20.8	15.5	18.8	5.4	20.8	23.9
en-ta	NA	NA	0.8	0.7	0.4	0.0	0.1	1.4
cs-en	34.4	37.2	23.8	23.9	24.4	NA	25.8	NA
fr-en	38.5	44.1	37.4	27.3	33.2	NA	32.4	NA
lt-en	12.6	15.2	4.9	3.7	6.6	NA	6.1	NA
ro-en	37.9	41.9	23.6	28.4	28.9	NA	31.8	NA
mean	23.2	26.0	18.8	14.5	17.1	7.0	18.0	19.2
