lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	71.7	79.0	64.6	66.5	67.1	60.8	71.5	66.1
en-de	67.3	72.3	61.7	66.4	69.3	60.2	72.3	69.9
en-fi	69.2	76.0	63.7	68.7	71.1	NA	74.4	64.2
en-fr	69.1	76.5	63.9	68.3	69.3	59.7	72.7	71.2
en-lt	45.9	43.5	53.4	47.0	42.8	NA	41.9	48.2
en-ro	71.6	81.7	64.1	67.8	71.1	64.3	76.0	70.0
en-ta	NA	NA	45.3	45.9	36.6	32.5	38.1	40.3
cs-en	71.7	71.7	61.3	67.0	69.1	NA	72.4	NA
fr-en	70.4	71.6	64.8	68.0	70.0	NA	74.2	NA
lt-en	59.4	57.4	48.3	49.1	50.0	NA	51.0	NA
ro-en	71.9	73.7	61.2	68.0	70.8	NA	74.2	NA
mean	66.8	70.3	59.3	62.1	62.5	55.5	65.3	61.4
