lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	67.3	68.1	50.5	65.3	65.1	53.9	71.0	55.6
en-de	66.3	64.7	51.3	66.6	66.5	53.9	71.9	59.5
en-fi	62.8	64.4	47.7	66.6	68.7	NA	74.5	53.0
en-fr	64.8	65.5	50.0	62.5	62.5	48.5	70.8	55.5
en-lt	43.2	39.6	44.9	46.0	41.9	NA	41.8	43.9
en-ro	65.7	72.8	53.2	67.9	69.2	58.4	74.8	59.5
en-ta	NA	NA	39.9	44.1	36.5	31.9	37.7	37.9
cs-en	72.9	71.8	56.0	69.2	72.4	NA	76.2	NA
fr-en	68.3	72.0	62.4	69.4	71.6	NA	73.5	NA
lt-en	60.8	59.3	46.7	51.4	54.6	NA	56.4	NA
ro-en	69.8	72.4	56.8	71.3	72.1	NA	73.9	NA
mean	64.2	65.1	50.9	61.8	61.9	49.3	65.7	52.1
