lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.0	98.2	92.0	92.0	94.8	98.2	97.6	NA
en-de	97.4	99.8	94.0	99.6	99.0	99.8	99.6	NA
en-fi	97.2	98.0	89.0	96.4	96.6	NA	98.4	NA
en-fr	96.4	99.6	93.4	94.2	96.4	99.6	98.0	NA
en-lt	95.0	97.6	86.8	90.2	93.8	NA	94.8	NA
en-ro	98.2	99.8	85.8	92.8	95.4	99.2	98.4	NA
en-ta	NA	NA	95.6	98.0	95.4	99.8	99.0	NA
cs-en	98.4	99.4	94.4	98.0	99.4	100.0	99.6	NA
fr-en	98.4	99.8	96.4	98.8	99.6	99.8	99.6	NA
lt-en	96.4	98.6	90.0	95.8	98.0	NA	98.6	NA
ro-en	97.6	99.6	91.2	98.2	98.4	99.4	99.6	NA
mean	97.1	99.0	91.7	95.8	97.0	99.5	98.5	NA
