lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.5	81.4	71.6	68.0	71.0	65.9	74.4	NA
en-de	73.9	78.7	70.0	70.3	73.1	68.9	76.4	NA
en-fi	74.9	78.7	69.1	71.6	74.4	NA	78.1	NA
en-fr	76.0	81.8	71.2	71.5	73.8	69.5	79.1	NA
en-lt	47.2	44.7	56.1	47.8	43.7	NA	43.2	NA
en-ro	75.2	82.3	68.6	70.1	72.9	67.0	77.3	NA
en-ta	NA	NA	46.7	47.1	38.2	33.8	39.4	NA
cs-en	79.2	80.9	70.4	71.9	74.2	64.4	77.7	NA
fr-en	78.5	82.7	73.0	74.1	77.1	70.4	81.2	NA
lt-en	66.8	68.7	58.5	54.7	56.5	NA	58.5	NA
ro-en	77.8	82.2	69.8	73.9	76.1	64.1	80.2	NA
mean	72.5	76.2	65.9	65.5	66.5	63.0	69.6	NA
