lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	6.8	9.4	2.0	5.2	5.2	1.4	9.1	4.0
en-de	8.9	10.5	3.2	6.0	8.1	3.2	11.8	4.6
en-fi	3.6	3.0	1.5	2.2	4.2	NA	6.7	2.4
en-fr	11.2	14.7	6.3	5.1	8.4	2.6	13.7	6.2
en-lt	2.1	2.5	0.8	0.6	0.7	NA	0.9	1.7
en-ro	9.7	12.6	2.4	7.9	9.0	2.1	13.5	6.6
en-ta	NA	NA	0.2	0.5	0.7	0.0	0.1	1.1
cs-en	16.1	19.4	3.7	15.1	20.5	NA	23.4	NA
fr-en	14.4	21.3	10.1	10.5	18.5	NA	17.2	NA
lt-en	6.8	8.8	1.5	2.5	5.2	NA	5.9	NA
ro-en	17.7	21.5	3.7	18.0	17.9	NA	18.4	NA
mean	9.7	12.4	3.2	6.7	8.9	1.9	11.0	3.8
