lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	36.3	56.0	63.7	14.9	25.7	48.9	17.8	NA
en-de	39.3	63.8	63.3	13.2	24.9	43.3	19.9	NA
en-fi	30.0	46.9	60.8	15.3	22.8	NA	14.3	NA
en-fr	43.5	69.0	74.2	16.9	34.3	59.1	22.4	NA
en-lt	33.8	52.6	49.2	14.8	29.9	NA	30.1	NA
en-ro	37.5	57.0	65.9	12.7	18.1	33.6	18.1	NA
en-ta	NA	NA	30.4	13.9	36.6	24.2	18.5	NA
cs-en	35.9	60.3	46.9	8.2	16.8	49.0	17.7	NA
fr-en	46.7	64.3	45.2	10.3	22.5	37.7	22.8	NA
lt-en	36.0	68.0	41.7	7.4	19.6	NA	19.5	NA
ro-en	44.9	57.0	46.8	10.1	19.6	31.6	20.6	NA
mean	38.4	59.5	53.5	12.5	24.6	40.9	20.2	NA
