lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	81.9	86.2	81.5	74.1	76.6	66.3	78.7	NA
en-de	79.7	82.7	78.7	76.3	77.6	71.4	80.9	NA
en-fi	80.4	82.6	79.4	77.1	79.6	NA	81.8	NA
en-fr	81.3	86.2	78.7	75.8	77.5	71.5	81.6	NA
en-lt	51.5	49.6	67.3	52.8	47.4	NA	45.0	NA
en-ro	81.3	86.9	79.1	77.2	78.2	71.1	81.9	NA
en-ta	NA	NA	53.2	48.9	42.3	33.7	39.7	NA
cs-en	84.4	84.3	81.2	78.1	79.9	67.0	82.3	NA
fr-en	83.6	86.6	81.7	79.5	81.7	73.7	85.4	NA
lt-en	71.8	71.6	67.4	61.0	62.9	NA	65.6	NA
ro-en	83.2	85.8	81.2	80.2	81.1	67.3	84.5	NA
mean	77.9	80.2	75.4	71.0	71.3	65.2	73.4	NA
