lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.7	85.1	81.1	74.0	75.6	66.9	78.1	NA
en-de	79.5	82.4	78.2	75.8	77.4	70.3	80.1	NA
en-fi	79.7	82.6	79.0	77.3	79.0	NA	81.5	NA
en-fr	80.9	85.5	78.2	75.9	77.4	70.3	81.9	NA
en-lt	50.4	46.9	64.5	52.0	45.5	NA	44.7	NA
en-ro	80.4	85.8	78.3	76.1	77.1	68.9	81.2	NA
en-ta	NA	NA	51.4	49.1	37.2	31.6	39.0	NA
cs-en	84.2	84.3	82.3	77.8	79.3	66.1	81.7	NA
fr-en	83.9	86.4	81.8	79.9	82.0	72.9	85.4	NA
lt-en	70.9	71.2	67.9	58.1	59.0	NA	60.3	NA
ro-en	82.6	85.5	81.2	79.7	80.4	65.6	84.3	NA
mean	77.3	79.6	74.9	70.5	70.0	64.1	72.6	NA
