lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	19.1	22.6	22.7	11.4	13.6	4.7	15.1	NA
en-de	25.9	26.7	21.3	18.4	22.9	12.6	22.7	NA
en-fi	12.6	10.1	21.0	7.7	11.8	NA	13.3	NA
en-fr	32.0	36.4	34.9	22.3	31.0	12.4	30.4	NA
en-lt	5.6	5.6	7.8	1.2	1.1	NA	1.4	NA
en-ro	24.4	25.0	21.8	16.8	17.7	5.2	21.2	NA
en-ta	NA	NA	1.1	1.0	0.4	0.0	0.2	NA
cs-en	38.8	40.2	31.6	26.9	25.7	NA	27.9	NA
fr-en	42.0	47.0	39.5	29.6	35.6	NA	35.4	NA
lt-en	17.3	19.5	12.9	5.7	8.3	NA	9.8	NA
ro-en	43.0	44.3	34.1	32.4	31.2	NA	34.9	NA
mean	26.1	27.7	22.6	15.8	18.1	7.0	19.3	NA
