lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.1	24.5	6.4	6.9	11.8	15.8	15.0	NA
en-de	15.5	26.5	11.0	7.9	13.5	16.7	16.2	NA
en-fi	12.5	17.8	5.4	7.1	11.0	NA	12.4	NA
en-fr	17.9	28.7	14.7	8.6	15.4	17.3	17.6	NA
en-lt	16.1	30.3	6.1	10.4	21.0	NA	24.1	NA
en-ro	18.0	27.5	6.9	7.8	13.7	17.1	16.2	NA
en-ta	NA	NA	8.3	9.5	22.5	21.2	18.3	NA
cs-en	17.9	30.1	7.3	7.4	12.7	23.0	15.7	NA
fr-en	16.6	29.5	14.2	7.6	14.3	16.9	16.5	NA
lt-en	16.7	29.4	7.0	6.4	14.4	NA	15.9	NA
ro-en	17.8	29.7	7.3	7.8	13.9	16.7	15.7	NA
mean	16.4	27.4	8.6	7.9	14.9	18.1	16.7	NA
