lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	85.0	95.8	71.8	92.4	92.2	97.6	97.0	NA
en-de	90.4	98.6	84.0	98.8	97.8	99.0	98.4	NA
en-fi	75.2	94.2	70.4	91.0	90.2	NA	96.4	NA
en-fr	90.8	97.4	82.6	94.6	96.4	99.0	98.6	NA
en-lt	76.2	93.0	69.8	91.4	93.0	NA	94.2	NA
en-ro	88.2	98.2	73.6	92.2	95.2	98.0	98.8	NA
en-ta	NA	NA	78.6	95.6	72.0	97.6	96.6	NA
cs-en	97.6	98.4	91.4	97.8	99.2	99.8	99.8	NA
fr-en	97.4	98.8	93.4	99.0	99.6	100.0	99.6	NA
lt-en	93.4	94.8	85.2	96.0	96.2	NA	98.2	NA
ro-en	97.0	99.4	87.0	98.4	99.4	99.8	99.6	NA
mean	89.1	96.9	80.7	95.2	93.7	98.8	97.9	NA
