lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.0	98.2	88.2	93.0	91.8	97.4	96.6	84.0
en-de	96.4	99.6	91.8	99.2	98.0	99.0	98.4	94.0
en-fi	91.4	98.0	87.4	94.8	95.2	NA	96.6	81.4
en-fr	95.0	98.6	91.6	95.4	96.4	99.0	98.8	92.4
en-lt	88.0	96.4	84.4	91.8	91.2	NA	92.6	80.4
en-ro	95.2	99.8	83.8	91.0	96.6	99.0	97.0	87.4
en-ta	NA	NA	93.0	95.4	89.8	97.6	95.0	93.2
cs-en	96.8	99.0	94.4	98.8	99.0	NA	99.6	NA
fr-en	97.6	99.8	95.4	98.8	99.2	NA	99.6	NA
lt-en	94.0	98.8	94.8	96.6	98.6	NA	99.0	NA
ro-en	98.2	99.6	92.2	98.6	98.8	NA	99.8	NA
mean	94.7	98.8	90.6	95.8	95.9	98.4	97.5	87.5
