lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.5	20.9	20.8	11.8	12.7	4.2	15.1	NA
en-de	21.7	26.6	18.5	18.8	22.6	11.9	23.9	NA
en-fi	12.7	8.6	18.3	7.5	11.7	NA	13.3	NA
en-fr	31.0	36.6	34.4	22.4	27.7	12.2	30.5	NA
en-lt	4.9	4.9	7.0	1.2	1.2	NA	1.7	NA
en-ro	23.7	26.1	23.2	15.5	16.7	5.5	21.2	NA
en-ta	NA	NA	1.1	0.9	0.5	0.0	0.3	NA
cs-en	36.8	39.5	32.8	27.4	25.5	10.6	28.0	NA
fr-en	40.6	46.1	39.7	29.7	35.7	16.6	35.5	NA
lt-en	16.6	18.8	13.1	6.7	8.5	NA	9.2	NA
ro-en	39.4	44.8	29.6	31.9	30.9	9.6	35.7	NA
mean	24.4	27.3	21.7	15.8	17.6	8.8	19.5	NA
