lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.1	22.3	24.8	12.2	13.5	4.2	15.4	NA
en-de	25.9	27.0	21.7	19.1	23.4	11.9	24.0	NA
en-fi	13.2	9.3	20.9	7.5	13.4	NA	13.4	NA
en-fr	32.0	36.7	35.2	23.8	29.2	12.6	30.8	NA
en-lt	5.2	4.9	7.8	1.2	1.3	NA	1.7	NA
en-ro	25.0	26.4	23.5	15.4	17.1	5.5	21.4	NA
en-ta	NA	NA	1.2	1.0	0.5	0.0	0.3	NA
cs-en	36.5	39.6	32.5	27.4	25.5	10.6	28.0	NA
fr-en	41.7	46.4	39.7	29.7	35.7	16.7	35.4	NA
lt-en	16.5	19.2	13.1	6.7	8.4	NA	9.2	NA
ro-en	41.0	45.3	32.9	31.9	30.8	9.6	35.6	NA
mean	25.5	27.7	23.0	16.0	18.1	8.9	19.6	NA
