lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.6	83.0	79.8	73.5	74.3	67.2	76.7	78.6
en-de	79.4	81.9	76.3	75.7	76.6	69.9	79.8	85.6
en-fi	79.4	82.4	77.3	76.0	79.0	NA	80.8	77.0
en-fr	80.6	85.2	76.5	74.8	77.6	70.2	80.8	85.5
en-lt	50.9	46.9	63.8	52.5	45.4	NA	44.2	57.8
en-ro	79.8	85.7	76.4	76.0	76.8	68.6	80.7	80.2
en-ta	NA	NA	51.2	48.4	37.2	30.7	38.8	43.1
cs-en	83.9	82.7	77.9	77.1	79.1	65.8	81.4	76.5
fr-en	83.5	85.3	81.3	78.9	81.4	73.1	85.0	87.4
lt-en	71.0	65.7	64.6	54.9	56.5	NA	56.9	59.8
ro-en	82.9	84.6	76.4	78.3	79.4	65.4	83.9	77.6
mean	77.2	78.3	72.9	69.6	69.4	63.9	71.7	73.6
