lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.4	21.9	13.7	12.3	12.1	4.4	13.9	NA
en-de	22.1	26.3	18.4	18.6	22.3	12.0	22.1	NA
en-fi	9.8	8.3	14.5	6.5	11.5	NA	13.1	NA
en-fr	29.2	34.7	33.3	24.0	30.5	12.5	31.5	NA
en-lt	3.9	4.2	5.7	1.2	1.1	NA	1.3	NA
en-ro	19.5	23.3	17.9	14.8	17.6	5.1	19.8	NA
en-ta	NA	NA	0.5	0.7	0.5	0.0	0.1	NA
cs-en	32.8	35.7	22.8	25.9	26.1	9.9	27.7	NA
fr-en	38.6	41.9	33.9	28.3	35.8	16.2	35.3	NA
lt-en	10.7	14.0	6.4	4.9	8.4	NA	8.6	NA
ro-en	38.5	40.0	28.0	32.2	30.9	9.2	34.8	NA
mean	22.0	25.0	17.7	15.4	17.9	8.7	18.9	NA
