lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.0	81.6	70.1	67.8	70.4	64.9	74.0	NA
en-de	74.0	78.4	69.5	70.0	72.6	68.1	76.7	NA
en-fi	74.3	79.1	68.9	71.0	74.5	NA	77.0	NA
en-fr	76.5	81.7	70.7	71.3	74.0	69.0	78.6	NA
en-lt	47.4	44.7	56.1	48.3	43.5	NA	43.1	NA
en-ro	75.2	82.1	67.8	70.2	72.3	66.7	77.2	NA
en-ta	NA	NA	46.7	46.9	37.7	33.3	40.3	NA
cs-en	79.2	80.5	70.2	72.1	74.2	NA	77.7	NA
fr-en	78.5	82.6	72.9	73.9	77.0	NA	81.1	NA
lt-en	67.6	68.7	56.8	53.6	56.1	NA	58.0	NA
ro-en	78.3	81.9	69.3	73.6	76.0	NA	79.9	NA
mean	72.7	76.1	65.4	65.3	66.2	60.4	69.4	NA
