lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	71.9	77.8	66.9	65.2	68.3	63.6	72.6	NA
en-de	67.8	72.7	62.7	65.8	67.8	63.7	73.8	NA
en-fi	70.2	74.6	63.9	67.9	71.8	NA	75.5	NA
en-fr	70.7	75.1	63.5	66.2	67.2	61.6	74.1	NA
en-lt	44.6	43.7	52.6	46.8	42.9	NA	41.3	NA
en-ro	73.1	80.5	65.2	68.4	70.9	65.7	75.9	NA
en-ta	NA	NA	44.5	46.2	37.0	32.4	39.4	NA
cs-en	77.2	80.0	69.0	71.2	74.0	65.1	77.4	NA
fr-en	76.1	82.1	71.6	73.5	76.8	70.6	80.9	NA
lt-en	59.9	66.0	54.5	52.8	54.9	NA	56.3	NA
ro-en	76.3	81.7	68.6	73.4	75.5	64.4	79.8	NA
mean	68.8	73.4	62.1	63.4	64.3	60.9	67.9	NA
