lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	83.0	95.2	75.8	90.4	94.0	98.4	97.0	NA
en-de	89.4	98.0	84.0	99.2	98.0	99.2	99.2	NA
en-fi	71.6	93.2	69.6	91.8	90.8	NA	97.6	NA
en-fr	92.4	97.0	82.0	94.4	95.8	98.4	98.8	NA
en-lt	71.8	93.4	72.0	91.4	90.2	NA	93.0	NA
en-ro	87.2	98.6	73.4	93.4	95.4	97.8	98.2	NA
en-ta	NA	NA	75.8	94.0	70.4	97.6	95.4	NA
cs-en	97.6	98.8	91.2	97.8	99.4	99.4	99.8	NA
fr-en	97.0	99.0	93.4	99.0	99.6	100.0	99.6	NA
lt-en	92.4	95.2	84.8	96.0	96.4	NA	97.2	NA
ro-en	97.8	99.2	87.2	98.4	99.2	100.0	99.6	NA
mean	88.0	96.8	80.8	95.1	93.6	98.8	97.8	NA
