lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.4	21.9	21.5	11.8	14.2	4.4	15.2	NA
en-de	22.6	26.0	22.3	19.0	23.1	12.2	23.9	NA
en-fi	10.9	9.8	20.6	7.8	12.6	NA	13.0	NA
en-fr	30.0	35.8	35.3	24.1	29.2	12.3	30.5	NA
en-lt	4.9	5.3	6.5	1.0	1.1	NA	1.6	NA
en-ro	24.8	24.6	23.0	16.8	18.2	5.6	20.9	NA
en-ta	NA	NA	0.9	1.0	0.6	0.0	0.2	NA
cs-en	37.7	41.0	33.2	27.5	25.5	9.8	27.8	NA
fr-en	40.6	47.6	40.4	29.5	35.9	16.2	35.6	NA
lt-en	16.5	20.3	13.4	6.1	9.1	NA	9.2	NA
ro-en	41.1	45.5	32.6	33.1	31.0	9.4	35.5	NA
mean	24.6	27.8	22.7	16.2	18.2	8.7	19.4	NA
