lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.0	21.2	10.7	12.5	11.9	4.5	15.2	NA
en-de	22.1	23.2	18.4	18.0	22.0	12.0	23.4	NA
en-fi	12.5	10.7	12.0	6.9	12.0	NA	13.1	NA
en-fr	31.4	33.6	30.2	23.5	29.1	11.9	31.8	NA
en-lt	6.6	5.9	5.5	1.1	1.0	NA	1.7	NA
en-ro	24.2	25.6	17.6	14.2	18.0	5.6	21.8	NA
en-ta	NA	NA	1.0	1.0	1.3	0.4	0.3	NA
cs-en	38.7	39.6	31.4	27.3	28.1	14.8	29.9	NA
fr-en	42.2	47.3	36.0	30.0	36.4	18.4	36.7	NA
lt-en	19.0	20.3	10.9	7.3	9.7	NA	11.3	NA
ro-en	42.6	45.5	28.7	32.8	32.8	13.8	36.9	NA
mean	25.7	27.3	18.4	15.9	18.4	10.2	20.2	NA
