lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.0	82.6	46.4	87.4	82.4	82.2	93.4	52.4
en-de	74.0	70.8	46.4	88.0	80.4	63.2	88.6	55.0
en-fi	61.8	73.8	32.4	84.6	81.0	NA	90.0	38.2
en-fr	67.4	61.4	32.8	71.0	67.2	43.4	80.2	40.0
en-lt	69.6	82.6	52.4	86.4	86.4	NA	89.6	53.2
en-ro	77.6	88.0	51.2	89.4	90.8	84.8	95.2	60.8
en-ta	NA	NA	74.2	95.4	75.0	97.4	96.8	81.2
cs-en	87.8	85.6	59.6	94.4	96.4	NA	97.0	NA
fr-en	81.8	85.8	73.6	91.6	90.6	NA	89.2	NA
lt-en	80.2	87.2	59.0	89.2	91.4	NA	92.0	NA
ro-en	87.6	88.2	65.0	94.8	93.2	NA	90.4	NA
mean	76.6	80.6	53.9	88.4	85.0	74.2	91.1	54.4
