lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	11.7	17.3	11.4	8.2	11.0	4.0	12.9	NA
en-de	13.9	16.8	8.8	14.4	15.3	9.6	18.8	NA
en-fi	9.1	6.0	6.3	5.7	10.1	NA	11.5	NA
en-fr	17.5	23.7	16.6	17.0	20.1	8.1	22.0	NA
en-lt	4.1	4.5	3.3	0.7	0.9	NA	1.1	NA
en-ro	21.8	21.6	14.2	13.6	16.4	4.8	20.0	NA
en-ta	NA	NA	0.5	0.7	0.5	0.0	0.2	NA
cs-en	32.5	37.0	25.2	26.1	25.8	10.5	27.5	NA
fr-en	38.1	44.3	33.6	28.7	35.7	16.5	35.3	NA
lt-en	12.6	17.3	9.9	5.2	8.1	NA	7.8	NA
ro-en	40.3	43.1	27.6	31.6	30.1	10.1	34.9	NA
mean	20.2	23.2	14.3	13.8	15.8	8.0	17.5	NA
