lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.9	21.5	23.0	11.0	13.6	4.3	13.6	NA
en-de	24.7	25.7	20.7	17.6	21.2	11.3	22.0	NA
en-fi	11.3	9.0	17.3	6.6	12.8	NA	13.1	NA
en-fr	30.3	35.3	33.5	23.1	29.2	12.9	29.0	NA
en-lt	4.8	4.9	6.6	0.8	1.0	NA	1.1	NA
en-ro	22.8	23.3	21.4	14.3	17.0	5.0	20.2	NA
en-ta	NA	NA	0.7	0.7	0.3	0.0	0.2	NA
cs-en	33.7	38.4	27.8	26.1	25.8	10.9	27.5	NA
fr-en	37.6	44.6	36.7	28.7	35.8	16.5	35.3	NA
lt-en	12.7	17.5	11.0	5.2	8.1	NA	7.8	NA
ro-en	40.3	43.7	32.0	31.6	30.1	10.1	34.9	NA
mean	23.5	26.4	21.0	15.1	17.7	8.9	18.6	NA
