lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	81.6	84.4	79.3	73.5	75.2	66.5	77.0	NA
en-de	79.2	82.4	77.1	75.9	76.8	69.5	80.1	NA
en-fi	79.1	81.9	77.5	75.8	78.7	NA	81.4	NA
en-fr	80.3	85.4	76.2	75.6	77.4	70.1	80.9	NA
en-lt	50.5	46.8	63.6	51.9	45.8	NA	43.9	NA
en-ro	80.0	86.0	76.8	76.7	77.0	68.7	80.9	NA
en-ta	NA	NA	50.7	48.1	36.8	31.1	38.8	NA
cs-en	82.3	82.9	78.4	76.7	78.1	NA	80.8	NA
fr-en	82.8	85.2	79.5	78.8	81.0	NA	84.6	NA
lt-en	66.3	66.3	61.1	53.6	54.9	NA	55.4	NA
ro-en	80.6	84.1	77.2	77.4	77.8	NA	83.1	NA
mean	76.3	78.5	72.5	69.5	69.0	61.2	71.5	NA
