lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.1	24.6	8.4	7.2	11.3	16.8	14.1	NA
en-de	15.4	26.1	11.6	8.1	14.2	16.9	16.6	NA
en-fi	14.0	19.0	6.7	7.1	10.8	NA	12.3	NA
en-fr	18.2	28.8	14.4	8.8	15.5	17.3	18.0	NA
en-lt	18.3	30.0	6.6	9.2	22.7	NA	23.3	NA
en-ro	17.7	27.5	6.9	8.5	14.1	18.0	16.3	NA
en-ta	NA	NA	11.7	10.5	19.7	22.5	18.1	NA
cs-en	18.4	31.2	8.9	7.7	12.9	22.6	15.9	NA
fr-en	17.0	30.4	15.3	8.0	14.5	17.2	16.8	NA
lt-en	19.0	33.0	9.0	6.7	15.3	NA	16.2	NA
ro-en	18.2	29.7	7.8	8.0	14.1	17.5	15.9	NA
mean	17.2	28.0	9.8	8.2	15.0	18.6	16.7	NA
